actions,categories,open_issues,pull_requests,stars,category
protontypes/continuous-reforestation,"['api-management', 'community']",4,0.0,168.0,"['api-management', 'community']"
phillipdupuis/pydantic-to-typescript,"['dependency-management', 'api-management']",8,4.0,157.0,"['dependency-management', 'api-management']"
joelwmale/webhook-action,"['monitoring', 'api-management']",1,6.0,115.0,"['monitoring', 'api-management']"
getsentry/action-github-app-token,['api-management'],3,5.0,111.0,['api-management']
louisbrunner/checks-action,"['api-management', 'reporting']",3,1.0,96.0,"['api-management', 'reporting']"
jamesives/fetch-api-data-action,"['api-management', 'utilities']",0,12.0,85.0,"['api-management', 'utilities']"
matt-ball/newman-action,"['api-management', 'testing']",9,5.0,112.0,"['api-management', 'testing']"
hahwul/mzap,"['security', 'api-management']",1,0.0,87.0,"['security', 'api-management']"
stoplightio/spectral-action,"['code-review', 'api-management']",11,4.0,62.0,"['code-review', 'api-management']"
readmeio/rdme,"['continuous-integration', 'api-management']",8,1.0,59.0,"['continuous-integration', 'api-management']"
helaili/github-graphql-action,"['api-management', 'utilities']",2,12.0,60.0,"['api-management', 'utilities']"
leonsteinhaeuser/project-beta-automations,"['project-management', 'api-management']",1,0.0,58.0,"['project-management', 'api-management']"
andstor/jsdoc-action,"['api-management', 'utilities']",0,14.0,61.0,"['api-management', 'utilities']"
amirisback/frogo-admob,"['code-quality', 'api-management']",1,0.0,51.0,"['code-quality', 'api-management']"
prafulla-codes/express-autodocs,['api-management'],3,1.0,47.0,['api-management']
tibotiber/hasura-action,"['deployment', 'api-management']",1,0.0,45.0,"['deployment', 'api-management']"
bump-sh/github-action,"['continuous-integration', 'api-management']",2,6.0,37.0,"['continuous-integration', 'api-management']"
hmanzur/actions-aws-eb,"['continuous-integration', 'api-management']",4,2.0,43.0,"['continuous-integration', 'api-management']"
amirisback/nutrition-framework,"['api-management', 'utilities']",0,0.0,35.0,"['api-management', 'utilities']"
unacast/actions-github-deployment-status,"['deployment', 'api-management']",4,0.0,32.0,"['deployment', 'api-management']"
itsmeow/curseforge-upload,"['publishing', 'api-management']",2,0.0,29.0,"['publishing', 'api-management']"
satak/webrequest-action,"['api-management', 'utilities']",1,7.0,42.0,"['api-management', 'utilities']"
databricks/run-notebook,['api-management'],5,0.0,27.0,['api-management']
peterkimzz/aws-ssm-send-command,"['deployment', 'api-management']",8,2.0,48.0,"['deployment', 'api-management']"
legion2/swagger-ui-action,"['api-management', 'utilities']",1,5.0,33.0,"['api-management', 'utilities']"
char0n/swagger-editor-validate,"['code-quality', 'api-management']",7,1.0,29.0,"['code-quality', 'api-management']"
joelanford/go-apidiff,"['code-review', 'api-management']",2,0.0,26.0,"['code-review', 'api-management']"
bufbuild/buf-setup-action,"['api-management', 'utilities']",2,0.0,25.0,"['api-management', 'utilities']"
anthonyvscode/newman-action,"['api-management', 'utilities']",3,13.0,32.0,"['api-management', 'utilities']"
camilogarcialarotta/watermelon-http-client,"['api-management', 'utilities']",1,1.0,21.0,"['api-management', 'utilities']"
pr4k/hugo-to-medium,"['api-management', 'utilities']",1,0.0,27.0,"['api-management', 'utilities']"
asyncapi/github-action-for-generator,"['publishing', 'api-management']",2,1.0,34.0,"['publishing', 'api-management']"
fal-ai/dbt-cloud-action,"['continuous-integration', 'api-management']",1,0.0,18.0,"['continuous-integration', 'api-management']"
yuki0n0/action-appstoreconnect-token,"['support', 'api-management']",1,2.0,19.0,"['support', 'api-management']"
typeable/comparest,"['api-management', 'testing']",29,0.0,17.0,"['api-management', 'testing']"
pnp/action-cli-login,"['continuous-integration', 'api-management']",0,0.0,18.0,"['continuous-integration', 'api-management']"
winify-ag/setup-phraseapp,"['localization', 'api-management']",1,11.0,17.0,"['localization', 'api-management']"
amirisback/consumable-code-movie-tmdb-api,"['project-management', 'api-management']",0,0.0,17.0,"['project-management', 'api-management']"
frogobox/frogo-ui,"['code-quality', 'api-management']",0,0.0,14.0,"['code-quality', 'api-management']"
zjblog/message,"['api-management', 'reporting']",0,0.0,12.0,"['api-management', 'reporting']"
mvegter/openapi-diff-action,"['continuous-integration', 'api-management']",1,0.0,16.0,"['continuous-integration', 'api-management']"
3stacks/cloudflare-purge-cache-action,"['api-management', 'utilities']",2,1.0,11.0,"['api-management', 'utilities']"
pxyup/protoc-actions,"['api-management', 'utilities']",0,0.0,13.0,"['api-management', 'utilities']"
caravancodes/consumable-code-the-sport-db-api,"['publishing', 'api-management']",0,0.0,11.0,"['publishing', 'api-management']"
bufbuild/buf-breaking-action,"['api-management', 'utilities']",2,0.0,13.0,"['api-management', 'utilities']"
prewk/s3-cp-action,"['api-management', 'utilities']",2,0.0,18.0,"['api-management', 'utilities']"
rjoydip-zz/googlesheet-actions,"['api-management', 'utilities']",0,4.0,18.0,"['api-management', 'utilities']"
caravancodes/frogo-ui-kit-deprecated,"['api-management', 'utilities']",0,0.0,10.0,"['api-management', 'utilities']"
pnp/action-cli-runscript,"['continuous-integration', 'api-management']",1,1.0,16.0,"['continuous-integration', 'api-management']"
bufbuild/buf-lint-action,"['api-management', 'utilities']",2,0.0,11.0,"['api-management', 'utilities']"
frogobox/frogo-consume-api,"['code-quality', 'api-management']",0,0.0,11.0,"['code-quality', 'api-management']"
lyqht/generate-supabase-db-types-github-action,"['api-management', 'utilities']",6,0.0,15.0,"['api-management', 'utilities']"
bufbuild/buf-push-action,"['api-management', 'utilities']",2,0.0,9.0,"['api-management', 'utilities']"
scanapi/github-action,"['api-management', 'testing']",0,0.0,11.0,"['api-management', 'testing']"
yi-xu-0100/traffic-to-badge,"['monitoring', 'api-management']",2,3.0,17.0,"['monitoring', 'api-management']"
sudo-bot/action-pull-request-merge,"['project-management', 'api-management']",0,1.0,8.0,"['project-management', 'api-management']"
tiryoh/gha-jobid-action,"['project-management', 'api-management']",1,0.0,10.0,"['project-management', 'api-management']"
amirisback/consumable-code-news-api,"['code-quality', 'api-management']",0,0.0,9.0,"['code-quality', 'api-management']"
algorithmiaio/algorithmia-ci-action,"['continuous-integration', 'api-management']",0,0.0,8.0,"['continuous-integration', 'api-management']"
lifebit-ai/action-cloudos-cli,"['api-management', 'testing']",10,1.0,7.0,"['api-management', 'testing']"
muinmomin/webhook-action,"['deployment', 'api-management']",0,12.0,12.0,"['deployment', 'api-management']"
seeebiii/redoc-cli-github-action,"['api-management', 'utilities']",1,0.0,13.0,"['api-management', 'utilities']"
rapidapi/gh-api-testing-trigger,"['api-management', 'testing']",0,1.0,17.0,"['api-management', 'testing']"
mercari/github-app-token-generator,"['continuous-integration', 'api-management']",0,0.0,9.0,"['continuous-integration', 'api-management']"
caravancodes/consumable-code-the-meal-db-api,"['code-quality', 'api-management']",0,0.0,6.0,"['code-quality', 'api-management']"
rez0n/actions-coudflare-dns,"['api-management', 'utilities']",0,0.0,6.0,"['api-management', 'utilities']"
soul-wish/ping-url-javascript-action,"['api-management', 'utilities']",0,0.0,8.0,"['api-management', 'utilities']"
agu-z/gql-diff-action,"['code-review', 'api-management']",1,1.0,6.0,"['code-review', 'api-management']"
batchcorp/schema-publisher,"['open-source-management', 'api-management']",0,0.0,7.0,"['open-source-management', 'api-management']"
frogobox/open-build-src,"['code-quality', 'api-management']",0,0.0,5.0,"['code-quality', 'api-management']"
maxkomarychev/oction-create-deployment,"['api-management', 'utilities']",1,3.0,5.0,"['api-management', 'utilities']"
pjoc-team/swagger-ui-action,['api-management'],1,0.0,8.0,['api-management']
andrewandante/silverstripe-cloud-dash-action,"['deployment', 'api-management']",0,0.0,5.0,"['deployment', 'api-management']"
craicoverflow/openapi-generator-generate-action,"['api-management', 'utilities']",0,0.0,7.0,"['api-management', 'utilities']"
caravancodes/consumable-code-pixabay-api,"['code-quality', 'api-management']",0,0.0,5.0,"['code-quality', 'api-management']"
peter-murray/github-ip-allow-list-action,"['support', 'api-management']",2,0.0,7.0,"['support', 'api-management']"
sudo-bot/action-pull-request-lock,"['project-management', 'api-management']",0,1.0,6.0,"['project-management', 'api-management']"
dkershner6/post-api-call-action,"['api-management', 'utilities']",0,0.0,5.0,"['api-management', 'utilities']"
kazamori/backlog-github-integration-action,"['project-management', 'api-management']",0,0.0,5.0,"['project-management', 'api-management']"
maxkomarychev/oction-create-deployment-status,"['api-management', 'utilities']",1,2.0,5.0,"['api-management', 'utilities']"
maxkomarychev/oction-create-issue,"['api-management', 'utilities']",1,2.0,4.0,"['api-management', 'utilities']"
maxkomarychev/oction-create-release,"['api-management', 'utilities']",0,3.0,4.0,"['api-management', 'utilities']"
apitree/github-actions,"['publishing', 'api-management']",0,0.0,5.0,"['publishing', 'api-management']"
ikeike443/deck-action,"['deployment', 'api-management']",1,14.0,4.0,"['deployment', 'api-management']"
solidify/github-action-update-azapim,"['deployment', 'api-management']",3,18.0,6.0,"['deployment', 'api-management']"
yi-xu-0100/repo-list-generator,"['deployment', 'api-management']",1,2.0,9.0,"['deployment', 'api-management']"
1drturtle/avrae-alias-update-action,"['publishing', 'api-management']",0,0.0,4.0,"['publishing', 'api-management']"
tobiasolofsson88/github-action-validate-json-request-result,"['api-management', 'utilities']",1,0.0,5.0,"['api-management', 'utilities']"
yutailang0119/action-mackerel-api,"['monitoring', 'api-management']",0,4.0,7.0,"['monitoring', 'api-management']"
alps-asd/asd-action,"['continuous-integration', 'api-management']",0,0.0,4.0,"['continuous-integration', 'api-management']"
code-hex/gqldoc-actions,"['project-management', 'api-management']",0,0.0,5.0,"['project-management', 'api-management']"
bhavaniravi/python-uml-generator,"['code-review', 'api-management']",0,0.0,4.0,"['code-review', 'api-management']"
fabasoad/jsonbin-action,"['api-management', 'utilities']",0,1.0,4.0,"['api-management', 'utilities']"
piranha/webhook-action,"['continuous-integration', 'api-management']",0,0.0,4.0,"['continuous-integration', 'api-management']"
speakeasy-api/sdk-generation-action,['api-management'],0,0.0,4.0,['api-management']
luisrjaeger/approved-event-checker,['api-management'],0,,5.0,['api-management']
techknowlogick/action-vultr,"['deployment', 'api-management']",0,0.0,5.0,"['deployment', 'api-management']"
maxkomarychev/oction-unlock-issue,"['api-management', 'utilities']",0,2.0,3.0,"['api-management', 'utilities']"
little-core-labs/netrc-creds,"['security', 'api-management']",1,7.0,6.0,"['security', 'api-management']"
samgehret/managesegmentfunction,"['deployment', 'api-management']",3,3.0,6.0,"['deployment', 'api-management']"
xpowery/covid-api,"['api-management', 'reporting']",0,1.0,5.0,"['api-management', 'reporting']"
sajantoor/notion-github-issues-automation,"['project-management', 'api-management']",0,0.0,4.0,"['project-management', 'api-management']"
databricks/upload-dbfs-temp,['api-management'],0,0.0,6.0,['api-management']
materials-consortia/optimade-validator-action,"['api-management', 'testing']",7,0.0,3.0,"['api-management', 'testing']"
infinitaslearning/notion-github-catalog,"['continuous-integration', 'api-management']",0,3.0,5.0,"['continuous-integration', 'api-management']"
microcks/import-github-action,"['publishing', 'api-management']",0,0.0,3.0,"['publishing', 'api-management']"
microcks/test-github-action,"['api-management', 'testing']",0,0.0,3.0,"['api-management', 'testing']"
openapi-generators/openapi-python-client-action,"['api-management', 'utilities']",1,1.0,4.0,"['api-management', 'utilities']"
cardinalby/google-api-fetch-token-action,"['security', 'api-management']",0,0.0,3.0,"['security', 'api-management']"
schemathesis/action,"['api-management', 'testing']",0,0.0,3.0,"['api-management', 'testing']"
austenstone/get-org-repos,"['api-management', 'utilities']",0,3.0,3.0,"['api-management', 'utilities']"
andrii-bodnar/crowdin-request-action,"['localization', 'api-management']",1,0.0,5.0,"['localization', 'api-management']"
traceableai/ast-action,"['api-management', 'testing']",0,4.0,5.0,"['api-management', 'testing']"
nwestfall/openapi-action,"['code-quality', 'api-management']",0,1.0,9.0,"['code-quality', 'api-management']"
mellemhere/homeassistant-entity-action,"['api-management', 'utilities']",0,0.0,3.0,"['api-management', 'utilities']"
yenlincc/cert-2-aws-creds,"['continuous-integration', 'api-management']",0,17.0,2.0,"['continuous-integration', 'api-management']"
radek-baczynski/async-api-generator,"['publishing', 'api-management']",1,0.0,2.0,"['publishing', 'api-management']"
maxkomarychev/oction-lock-issue,"['api-management', 'utilities']",0,2.0,2.0,"['api-management', 'utilities']"
getshifter/actions-start,"['continuous-integration', 'api-management']",0,1.0,2.0,"['continuous-integration', 'api-management']"
getshifter/actions-stop,"['continuous-integration', 'api-management']",0,1.0,2.0,"['continuous-integration', 'api-management']"
dciborow/ml-workspace,['api-management'],0,0.0,3.0,['api-management']
knabben/gql-pull,"['api-management', 'container-ci']",0,0.0,2.0,"['api-management', 'container-ci']"
rungutan/rungutan-actions,"['api-management', 'testing']",0,0.0,2.0,"['api-management', 'testing']"
softprops/setup-fastly-cli,"['deployment', 'api-management']",0,2.0,3.0,"['deployment', 'api-management']"
aaimio/deriv-app-id-action,"['api-management', 'utilities']",7,,3.0,"['api-management', 'utilities']"
mupixa/deploy-lambda,"['continuous-integration', 'api-management']",0,0.0,2.0,"['continuous-integration', 'api-management']"
thuongtruong1009/a_repo_with_8_stars_and_1_forks,"['continuous-integration', 'api-management']",0,0.0,8.0,"['continuous-integration', 'api-management']"
pantheon-systems/terminus-github-actions,"['continuous-integration', 'api-management']",2,1.0,11.0,"['continuous-integration', 'api-management']"
amirisback/easy-kotlin-lib-jar,"['publishing', 'api-management']",0,0.0,7.0,"['publishing', 'api-management']"
theneo-inc/api-documentation,"['continuous-integration', 'api-management']",0,0.0,17.0,"['continuous-integration', 'api-management']"
yegorrybchenko/go-swag-action,"['api-management', 'code-scanning-ready']",1,0.0,2.0,"['api-management', 'code-scanning-ready']"
tufin/oasdiff-action,"['dependency-management', 'api-management']",0,0.0,6.0,"['dependency-management', 'api-management']"
dmvict/clean-workflow-runs,"['project-management', 'api-management']",0,0.0,2.0,"['project-management', 'api-management']"
servicenow/servicenow-devops-change,['api-management'],1,0.0,4.0,['api-management']
ilyalehchylin/appstore-connect-app-version,"['api-management', 'mobile']",0,0.0,2.0,"['api-management', 'mobile']"
tmillr/breaking-change,"['api-management', 'reporting']",12,6.0,2.0,"['api-management', 'reporting']"
antonydevanchi/octodns-sync,"['deployment', 'api-management']",0,,3.0,"['deployment', 'api-management']"
wethinkcode/github_action_slackbot,['api-management'],0,0.0,5.0,['api-management']
mpoc/yaml-validation-action,"['api-management', 'utilities']",0,0.0,1.0,"['api-management', 'utilities']"
ladjeek-actions/action-telegram,"['chat', 'api-management']",0,,8.0,"['chat', 'api-management']"
mpoc/nexus-validate-using-remote-schema-action,"['api-management', 'utilities']",0,0.0,4.0,"['api-management', 'utilities']"
varun-bst/release-action,['api-management'],0,,2.0,['api-management']
algorithmiaio/test-algo-action,"['continuous-integration', 'api-management']",0,0.0,1.0,"['continuous-integration', 'api-management']"
web-sys1/covid19-main,"['api-management', 'utilities']",0,,2.0,"['api-management', 'utilities']"
nnanto/schemacodeman,"['dependency-management', 'api-management']",0,0.0,1.0,"['dependency-management', 'api-management']"
mpetrunic/swagger-cli-action,"['open-source-management', 'api-management']",0,,1.0,"['open-source-management', 'api-management']"
ransbymich/ticket-check-action,['api-management'],0,,1.0,['api-management']
denar90/webhook-action,"['continuous-integration', 'api-management']",0,3.0,1.0,"['continuous-integration', 'api-management']"
vemonet/rmlmapper-java,"['api-management', 'utilities']",0,,2.0,"['api-management', 'utilities']"
ggui/graviteeio-apim-api-definition-action,['api-management'],0,0.0,1.0,['api-management']
antfu/github-script,"['continuous-integration', 'api-management']",0,,5.0,"['continuous-integration', 'api-management']"
taylorg198739/workflow-actions,['api-management'],0,0.0,1.0,['api-management']
d4nicoder/kubectl-action,"['api-management', 'utilities']",0,0.0,1.0,"['api-management', 'utilities']"
apimatic/apimatic-transformer-action,"['api-management', 'utilities']",0,0.0,4.0,"['api-management', 'utilities']"
pdamianik/release-tag-to-upload-url-action,['api-management'],0,0.0,2.0,['api-management']
datapane/build-action,"['api-management', 'reporting']",0,0.0,1.0,"['api-management', 'reporting']"
phantomstudios/appreciation-engine-whitelist,"['deployment', 'api-management']",0,0.0,1.0,"['deployment', 'api-management']"
haydenmacdonald/multigitminder,['api-management'],0,0.0,1.0,['api-management']
vbem/k8s-port-forward,"['api-management', 'container-ci']",0,0.0,2.0,"['api-management', 'container-ci']"
kittycad/action-convert-directory,"['continuous-integration', 'api-management']",1,0.0,2.0,"['continuous-integration', 'api-management']"
dasshit/myteam-notify,"['chat', 'api-management']",0,0.0,4.0,"['chat', 'api-management']"
austenstone/project-update,"['project-management', 'api-management']",0,3.0,3.0,"['project-management', 'api-management']"
usabl-dev/usabl-github-action,"['api-management', 'testing']",0,0.0,1.0,"['api-management', 'testing']"
rapdev-io/sn-devops-notification,['api-management'],0,0.0,1.0,['api-management']
evvanerb/get-github-email-by-username-action,"['api-management', 'community']",0,0.0,4.0,"['api-management', 'community']"
ehsanfox/djs-actions,"['api-management', 'time-tracking']",0,0.0,7.0,"['api-management', 'time-tracking']"
chadxz/s3-delete-objects-action,"['api-management', 'utilities']",0,0.0,1.0,"['api-management', 'utilities']"
bigtows/yc-token,"['continuous-integration', 'api-management']",0,6.0,2.0,"['continuous-integration', 'api-management']"
bigtows/yc-lockbox,"['continuous-integration', 'api-management']",0,6.0,1.0,"['continuous-integration', 'api-management']"
kong/setup-inso,"['api-management', 'testing']",1,0.0,6.0,"['api-management', 'testing']"
crispybaguette/ovh-dns-alter-action,['api-management'],0,0.0,1.0,['api-management']
ably-labs/ably-control-api-action,"['api-management', 'utilities']",0,4.0,2.0,"['api-management', 'utilities']"
s0y0ung/sw_class1,"['publishing', 'api-management']",0,1.0,2.0,"['publishing', 'api-management']"
swimmwatch/openapi-diff-action,"['continuous-integration', 'api-management']",0,0.0,2.0,"['continuous-integration', 'api-management']"
allnodes-bot/xtra-hook-shot,"['api-management', 'utilities']",0,0.0,1.0,"['api-management', 'utilities']"
explorium-ai/trigger-astronomer-action,"['deployment', 'api-management']",0,0.0,1.0,"['deployment', 'api-management']"
camelotls/actions-thycotic-ss-integration,['api-management'],0,0.0,1.0,['api-management']
nathanclevenger/api-json-action,"['deployment', 'api-management']",1,0.0,2.0,"['deployment', 'api-management']"
commandcracker/lstore-put,"['deployment', 'api-management']",0,0.0,3.0,"['deployment', 'api-management']"
peaceiris/actions-github-app-token,"['security', 'api-management']",1,1.0,1.0,"['security', 'api-management']"
pharaohcola13/fyx-autoapi,"['api-management', 'utilities']",0,0.0,0.0,"['api-management', 'utilities']"
kylegrabfelder/sdk-generation-action,['api-management'],0,0.0,1.0,['api-management']
glup3/anilist-animes-action,"['api-management', 'utilities']",0,0.0,3.0,"['api-management', 'utilities']"
hilary/openapi-cli-bundle-action,"['api-management', 'utilities']",0,0.0,2.0,"['api-management', 'utilities']"
kipriz/update-azure-api-management,"['deployment', 'api-management']",0,0.0,5.0,"['deployment', 'api-management']"
carlosthe19916/keycloak-action,"['api-management', 'utilities']",0,0.0,2.0,"['api-management', 'utilities']"
luoqiz/docker-images-latest-version,"['api-management', 'utilities']",0,0.0,2.0,"['api-management', 'utilities']"
rvolo/open-api-diff-notes-action,"['project-management', 'api-management']",0,0.0,1.0,"['project-management', 'api-management']"
mpoc/nexus-grader-config-test-action,"['api-management', 'utilities']",0,0.0,0.0,"['api-management', 'utilities']"
robert-matusewicz/leanpub-publish-action,"['publishing', 'api-management']",0,0.0,0.0,"['publishing', 'api-management']"
robert-matusewicz/leanpub-preview-action,"['publishing', 'api-management']",1,0.0,0.0,"['publishing', 'api-management']"
mpoc/nexus-update-notifier-action,"['continuous-integration', 'api-management']",0,0.0,0.0,"['continuous-integration', 'api-management']"
giboow/action-aws-cli,"['api-management', 'utilities']",0,0.0,1.0,"['api-management', 'utilities']"
convox/action-run,"['deployment', 'api-management']",0,0.0,1.0,"['deployment', 'api-management']"
algorithmiaio/build-wait-action,"['continuous-integration', 'api-management']",0,0.0,0.0,"['continuous-integration', 'api-management']"
algorithmiaio/publish-algo-action,"['continuous-integration', 'api-management']",0,0.0,0.0,"['continuous-integration', 'api-management']"
parrajustin/chart-releaser-action,['api-management'],0,,0.0,['api-management']
thebusybiscuit/recently-closed-issues,"['api-management', 'community']",1,4.0,0.0,"['api-management', 'community']"
marcoeidinger/swift-api-assign-reviewer,"['code-review', 'api-management']",0,3.0,1.0,"['code-review', 'api-management']"
limeflight/openapi-diff-action,"['code-quality', 'api-management']",0,0.0,2.0,"['code-quality', 'api-management']"
meeshkan/action,"['api-management', 'testing']",0,0.0,0.0,"['api-management', 'testing']"
bot-pf/test-action-4,"['api-management', 'ai-assisted']",0,12.0,0.0,"['api-management', 'ai-assisted']"
vemonet/sparql-operations-action,"['api-management', 'utilities']",0,0.0,0.0,"['api-management', 'utilities']"
pkumar001/kryptowire-analysis-action,"['security', 'api-management']",0,4.0,0.0,"['security', 'api-management']"
cyrusroshan/cachepurger,"['publishing', 'api-management']",0,13.0,3.0,"['publishing', 'api-management']"
dnxlabs/ssosync-action,"['api-management', 'utilities']",1,0.0,0.0,"['api-management', 'utilities']"
starfish719/check-actions-billing-info,['api-management'],0,17.0,5.0,['api-management']
dovnaralexander/github-actions-jelastic,['api-management'],2,0.0,3.0,['api-management']
ioggstream/api-oas-checker-action,"['code-quality', 'api-management']",6,,0.0,"['code-quality', 'api-management']"
trejjam/npm-scope-action,"['security', 'api-management']",0,0.0,0.0,"['security', 'api-management']"
urmade/aad_service-principal_action,"['deployment', 'api-management']",0,0.0,0.0,"['deployment', 'api-management']"
roycdiscovery/pact-canideployto-action,"['api-management', 'testing']",0,0.0,1.0,"['api-management', 'testing']"
roycdiscovery/pact-publish-oas-action,"['api-management', 'testing']",0,0.0,1.0,"['api-management', 'testing']"
roycdiscovery/pact-create-tag-action,"['api-management', 'testing']",0,0.0,1.0,"['api-management', 'testing']"
wistefan/create-openapi-yaml,"['api-management', 'reporting']",0,0.0,0.0,"['api-management', 'reporting']"
zzamboni/leanpub-watch-action,"['publishing', 'api-management']",0,0.0,0.0,"['publishing', 'api-management']"
bluesboy/delete-dns-record,"['api-management', 'utilities']",0,,0.0,"['api-management', 'utilities']"
bluesboy/create-dns-record,"['api-management', 'utilities']",0,,0.0,"['api-management', 'utilities']"
roycdiscovery/pact-canideploywith-action,"['api-management', 'testing']",0,0.0,1.0,"['api-management', 'testing']"
roycdiscovery/pact-publish-pactfiles-action,"['api-management', 'testing']",0,0.0,1.0,"['api-management', 'testing']"
jneate/postman-collection-action,"['publishing', 'api-management']",0,5.0,3.0,"['publishing', 'api-management']"
ryubb/change-notion-page-status,"['project-management', 'api-management']",0,0.0,0.0,"['project-management', 'api-management']"
coscene-io/api-linter-setup-action,['api-management'],0,0.0,0.0,['api-management']
everpcpc/cloudflare-dns-action,"['api-management', 'utilities']",0,0.0,1.0,"['api-management', 'utilities']"
swisyn/android-version-generator-actions,"['api-management', 'utilities']",0,1.0,0.0,"['api-management', 'utilities']"
swimmwatch/openapi-compare-version,"['continuous-integration', 'api-management']",0,0.0,0.0,"['continuous-integration', 'api-management']"
swimmwatch/openapi-diff-semver-bump,"['continuous-integration', 'api-management']",0,0.0,0.0,"['continuous-integration', 'api-management']"
jmn8718/action-esper.io-upload,"['deployment', 'api-management']",0,0.0,0.0,"['deployment', 'api-management']"
explorium-ai/trigger-dag-action,"['deployment', 'api-management']",0,0.0,2.0,"['deployment', 'api-management']"
servicenow/servicenow-devops-test-report,['api-management'],0,0.0,1.0,['api-management']
servicenow/servicenow-devops-sonar,['api-management'],0,0.0,1.0,['api-management']
themoddinginquisition/actions-team-membership,['api-management'],1,1.0,0.0,['api-management']
weirui88888/aliyun-cdn-sdk,"['deployment', 'api-management']",0,2.0,2.0,"['deployment', 'api-management']"
kittycad/action-install-cli,"['continuous-integration', 'api-management']",0,0.0,2.0,"['continuous-integration', 'api-management']"
drlove2002/secure-github-webhook,"['continuous-integration', 'api-management']",0,1.0,0.0,"['continuous-integration', 'api-management']"
mohammad22/action-remote-github-app-token,['api-management'],0,,0.0,['api-management']
ossipesonen/action-update-api-management-openapi,"['deployment', 'api-management']",0,0.0,0.0,"['deployment', 'api-management']"
luukkemp/deployment-status-update,"['deployment', 'api-management']",0,,0.0,"['deployment', 'api-management']"
litencatt/notion-db-auto-relator,['api-management'],0,0.0,2.0,['api-management']
propromp/nexus-release,"['publishing', 'api-management']",0,0.0,0.0,"['publishing', 'api-management']"
nevvulo/hashnode-publisher,"['publishing', 'api-management']",0,8.0,0.0,"['publishing', 'api-management']"
linuxdeepin/action-sync,"['api-management', 'learning']",0,0.0,0.0,"['api-management', 'learning']"
linuxdeepin/action-organization-manager,"['api-management', 'learning']",0,0.0,3.0,"['api-management', 'learning']"
frogobox/frogo-animation,"['code-quality', 'api-management']",0,0.0,2.0,"['code-quality', 'api-management']"
morigs/lint-api-docs-action,"['code-quality', 'api-management']",0,0.0,0.0,"['code-quality', 'api-management']"
choreo-templates/webhook-configs-commit,"['code-quality', 'api-management']",0,0.0,0.0,"['code-quality', 'api-management']"
fadur/service-state-action,['api-management'],0,0.0,0.0,['api-management']
axway-api-management-plus/apim-cli-github-action,"['continuous-integration', 'api-management']",0,0.0,1.0,"['continuous-integration', 'api-management']"
trybeapp/redocly-openapi-cli-github-action,"['api-management', 'utilities']",0,0.0,0.0,"['api-management', 'utilities']"
allexveldman/graphql-convert-introspection-schema,"['api-management', 'utilities']",0,0.0,0.0,"['api-management', 'utilities']"
thijsvtol/create-environments,"['deployment', 'api-management']",1,0.0,2.0,"['deployment', 'api-management']"
rapdev-io/sn-devops-change-update,['api-management'],0,0.0,0.0,['api-management']
rapdev-io/sn-devops-change,['api-management'],0,0.0,2.0,['api-management']
yknx4/generate-authorized-keys-from-github-teams,"['continuous-integration', 'api-management']",0,1.0,0.0,"['continuous-integration', 'api-management']"
bitbagcommerce/rancher-remove-catalog-app,"['api-management', 'container-ci']",0,0.0,0.0,"['api-management', 'container-ci']"
bitbagcommerce/rancher-install-catalog-app,"['api-management', 'container-ci']",0,0.0,0.0,"['api-management', 'container-ci']"
phartenfeller/cronicle-job-action,"['continuous-integration', 'api-management']",0,4.0,0.0,"['continuous-integration', 'api-management']"
signcl/zenhub-move-card,"['project-management', 'api-management']",0,0.0,2.0,"['project-management', 'api-management']"
ankur-lt/send-releases-to-slack,"['continuous-integration', 'api-management']",0,0.0,0.0,"['continuous-integration', 'api-management']"
ddivanshu/test12,"['api-management', 'backup-utilities']",0,0.0,0.0,"['api-management', 'backup-utilities']"
raphapr/tfe-run,"['api-management', 'ai-assisted']",0,,0.0,"['api-management', 'ai-assisted']"
include-dcc/cavatica-upload-action,['api-management'],0,0.0,0.0,['api-management']
convox/action-exec,"['deployment', 'api-management']",0,0.0,0.0,"['deployment', 'api-management']"
jiangxin/file-exists-action,"['continuous-integration', 'api-management']",0,0.0,2.0,"['continuous-integration', 'api-management']"
jannemattila/azure-api-management-developer-portal-action,"['publishing', 'api-management']",0,0.0,1.0,"['publishing', 'api-management']"
philibea/scw-cli-action,"['open-source-management', 'api-management']",0,0.0,0.0,"['open-source-management', 'api-management']"
priyakewlani18/stackrepo2,['api-management'],0,0.0,0.0,['api-management']
salockhart/sync-swagger-postman-action,"['api-management', 'utilities']",0,0.0,4.0,"['api-management', 'utilities']"
devpolo/awake-action,"['api-management', 'utilities']",0,0.0,156.0,"['api-management', 'utilities']"
gcp-clouddeploy-ecosystem/deploy-clouddeploy,"['continuous-integration', 'api-management']",0,5.0,2.0,"['continuous-integration', 'api-management']"
gcp-clouddeploy-ecosystem/release-clouddeploy,['api-management'],6,,0.0,['api-management']
include-dcc/sbpack-action,['api-management'],0,0.0,0.0,['api-management']
voteshield/vapeshield,['api-management'],0,1.0,1.0,['api-management']
contributorcoin/contribute-action,"['api-management', 'utilities']",0,1.0,0.0,"['api-management', 'utilities']"
crispybaguette/ovh-dns-refresh-action,['api-management'],0,0.0,1.0,['api-management']
juniuszhangserai/getdeploymentbyid,"['deployment', 'api-management']",0,0.0,0.0,"['deployment', 'api-management']"
