actions,categories,open_issues,pull_requests,stars,category
julien51/token-gated-commit-action,"['code-review', 'community']",0,0.0,7.0,"['code-review', 'community']"
upalatucci/get-owners-action,['code-review'],0,0.0,3.0,['code-review']
nathangiusti/pbix-deserializer,['code-review'],0,0.0,5.0,['code-review']
np-guard/netpol-diff-gh-action,"['code-review', 'reporting']",0,0.0,2.0,"['code-review', 'reporting']"
np-guard/netpol-reports-gh-action,"['code-review', 'reporting']",0,0.0,2.0,"['code-review', 'reporting']"
dasskelett/avc-versionfilevalidator,"['continuous-integration', 'code-review']",0,0.0,2.0,"['continuous-integration', 'code-review']"
daninator1/breaker,['code-review'],0,0.0,4.0,['code-review']
carlosnizolli/robotlint,"['code-review', 'testing']",0,0.0,3.0,"['code-review', 'testing']"
pmqueiroz/basecamp-ready-for-review,['code-review'],0,1.0,2.0,['code-review']
agyemanjp/ci-checks-action,"['continuous-integration', 'code-review']",0,4.0,4.0,"['continuous-integration', 'code-review']"
argonsecurity/scanner-action,"['security', 'code-review']",0,0.0,2.0,"['security', 'code-review']"
makaroni4/prcop,"['code-review', 'learning']",1,1.0,30.0,"['code-review', 'learning']"
gmolau/codeowners,"['project-management', 'code-review']",1,0.0,2.0,"['project-management', 'code-review']"
microsoft/action-python,"['continuous-integration', 'code-review']",1,1.0,6.0,"['continuous-integration', 'code-review']"
rednafi/i-have-seen,"['code-review', 'utilities']",2,0.0,4.0,"['code-review', 'utilities']"
matyas-igor/pr-number-action,"['code-review', 'utilities']",0,1.0,2.0,"['code-review', 'utilities']"
casassg/auto-merge-bot,"['code-review', 'open-source-management']",2,0.0,3.0,"['code-review', 'open-source-management']"
sbimochan/ticket-link-appender,"['project-management', 'code-review']",1,1.0,2.0,"['project-management', 'code-review']"
zattoo/output,"['code-review', 'reporting']",1,1.0,2.0,"['code-review', 'reporting']"
fabriziosandri/rcppdeepstate-action,"['code-review', 'reporting']",1,0.0,2.0,"['code-review', 'reporting']"
mondeja/pr-linked-issues-action,"['project-management', 'code-review']",0,0.0,2.0,"['project-management', 'code-review']"
boscodomingo/jira-issue-in-description-action,"['continuous-integration', 'code-review']",0,,2.0,"['continuous-integration', 'code-review']"
danielswensson/auto-assign-owner-action,"['code-review', 'utilities']",0,2.0,2.0,"['code-review', 'utilities']"
tj-actions/json2file,"['continuous-integration', 'code-review']",1,1.0,2.0,"['continuous-integration', 'code-review']"
victorx64/pr-label,"['code-review', 'open-source-management']",0,0.0,2.0,"['code-review', 'open-source-management']"
pleo-io/assign-random-codeowners,"['project-management', 'code-review']",2,0.0,2.0,"['project-management', 'code-review']"
obasekietinosa/tweet-for-code-review-action,"['code-review', 'publishing']",0,0.0,3.0,"['code-review', 'publishing']"
bigwheel/kustomize-validate-action,"['code-review', 'testing']",0,0.0,1.0,"['code-review', 'testing']"
murs313/request-review,['code-review'],1,0.0,2.0,['code-review']
markbattistella/markdown-safe-link-action,"['security', 'code-review']",0,0.0,0.0,"['security', 'code-review']"
itsvs/no-merge-action,['code-review'],0,13.0,1.0,['code-review']
younited/detect-branch-changes-action,"['continuous-integration', 'code-review']",0,0.0,4.0,"['continuous-integration', 'code-review']"
imba-tjd/auto-close-pr-action,"['code-review', 'open-source-management']",0,0.0,1.0,"['code-review', 'open-source-management']"
ka7eh/no-weekend-merge,"['continuous-integration', 'code-review']",0,0.0,2.0,"['continuous-integration', 'code-review']"
nohmad/lcov-report-action,"['code-review', 'testing']",0,1.0,4.0,"['code-review', 'testing']"
devsamuelv/secret_existence,['code-review'],0,,1.0,['code-review']
aig787/cargo-udeps-action,"['continuous-integration', 'code-review']",2,0.0,3.0,"['continuous-integration', 'code-review']"
minchao/cfn-nag-action,"['security', 'code-review']",0,0.0,2.0,"['security', 'code-review']"
buildsville/review-summary,['code-review'],0,0.0,2.0,['code-review']
rowi1de/action-extract-pull-metadata,"['code-review', 'code-search']",0,0.0,1.0,"['code-review', 'code-search']"
lsacera/kiuwandeliveryaction,"['security', 'code-review']",1,1.0,1.0,"['security', 'code-review']"
alialaa/open-issue,"['code-review', 'reporting']",0,16.0,3.0,"['code-review', 'reporting']"
mobileheadholding/github-action-rebase,"['continuous-integration', 'code-review']",0,1.0,1.0,"['continuous-integration', 'code-review']"
tuanddd/jira-automate-transition,"['code-review', 'utilities']",0,2.0,5.0,"['code-review', 'utilities']"
aman-zishan/first-github-action,['code-review'],0,0.0,1.0,['code-review']
everphone-gmbh/shame_bot,['code-review'],0,0.0,1.0,['code-review']
artplan1/brakeman-action,"['security', 'code-review']",0,0.0,1.0,"['security', 'code-review']"
khezen/cmtpr,['code-review'],0,0.0,1.0,['code-review']
higebu/actions-email-domain,"['project-management', 'code-review']",2,1.0,3.0,"['project-management', 'code-review']"
alberthernandez/working-label-action,"['project-management', 'code-review']",0,15.0,3.0,"['project-management', 'code-review']"
moneyforward/rubocop-action,['code-review'],0,8.0,1.0,['code-review']
moneyforward/misspell-action,['code-review'],0,8.0,2.0,['code-review']
moneyforward/code-review-action,['code-review'],0,7.0,1.0,['code-review']
adityagovardhan/ga-pull-requests-projects,"['project-management', 'code-review']",0,,1.0,"['project-management', 'code-review']"
codespell-project/codespell-problem-matcher,"['continuous-integration', 'code-review']",1,0.0,0.0,"['continuous-integration', 'code-review']"
smasala/jira-ticket-assigner,"['project-management', 'code-review']",0,8.0,1.0,"['project-management', 'code-review']"
techshift/mention-reviewers,['code-review'],0,0.0,1.0,['code-review']
jkarwatka/validate-yaml-schema-action,"['code-review', 'utilities']",1,15.0,2.0,"['code-review', 'utilities']"
masakinpo/assign-reviewers-by-day,"['code-review', 'support']",0,15.0,2.0,"['code-review', 'support']"
rcmachado/changelog-action,"['code-review', 'publishing']",0,0.0,1.0,"['code-review', 'publishing']"
